Date,Open,High,Low,Close*,Volume(MM),%Change,MACD,MACDsig,RS,RSI,Stochastic%K,Stochastic%D,Consecutive Move,Sum of % change during consecutive,Class
"Apr 29, 2010","1,193.30","1,209.36","1,193.30","1,206.78","6,059.41",1.29%,10.54,13.16,1.23,55.12,65.90,36.88,2.00,1.94%,5
"Apr 30, 2010","1,206.77","1,207.99","1,186.32","1,186.69","6,048.26",-1.66%,8.70,12.27,0.87,46.48,13.28,34.90,1.00,-1.66%,1
"May 03, 2010","1,188.58","1,205.13","1,188.58","1,202.26","4,938.05",1.31%,8.40,11.49,1.07,51.61,54.06,44.41,1.00,1.31%,5
"May 04, 2010","1,197.50","1,197.50","1,168.12","1,173.60","6,594.72",-2.38%,5.79,10.35,0.64,39.05,10.60,25.98,1.00,-2.38%,1
"May 05, 2010","1,169.24","1,175.95","1,158.15","1,165.87","6,795.94",-0.66%,3.06,8.89,0.59,36.98,12.52,25.73,2.00,-3.04%,2
"May 06, 2010","1,164.38","1,167.58","1,065.79","1,128.15","10,617.81",-3.24%,-2.13,6.69,0.50,33.51,40.49,21.21,3.00,-6.28%,1
"May 07, 2010","1,127.04","1,135.13","1,094.15","1,110.88","9,472.91",-1.53%,-7.54,3.84,0.41,28.96,29.28,27.43,4.00,-7.81%,1
"May 10, 2010","1,122.27","1,163.85","1,122.27","1,159.73","6,893.70",4.40%,-7.80,1.51,0.68,40.32,61.00,43.59,1.00,4.40%,5
"May 11, 2010","1,156.39","1,170.48","1,147.71","1,155.79","5,842.55",-0.34%,-8.23,-0.44,0.66,39.88,58.44,49.57,1.00,-0.34%,2
"May 12, 2010","1,155.43","1,172.87","1,155.43","1,171.67","5,225.46",1.37%,-7.21,-1.79,0.75,42.91,68.75,62.73,1.00,1.37%,5
"May 13, 2010","1,170.04","1,173.57","1,156.14","1,157.44","4,870.64",-1.21%,-7.46,-2.92,0.63,38.78,59.51,62.23,1.00,-1.21%,1
"May 14, 2010","1,157.19","1,157.19","1,126.14","1,135.68","6,126.40",-1.88%,-9.30,-4.20,0.58,36.51,48.00,58.75,2.00,-3.09%,1
"May 17, 2010","1,136.52","1,141.88","1,114.96","1,136.94","5,922.92",0.11%,-10.54,-5.47,0.69,40.87,49.56,52.36,1.00,0.11%,3
"May 18, 2010","1,138.78","1,148.66","1,117.20","1,120.80","6,170.84",-1.42%,-12.68,-6.91,0.58,36.66,38.32,45.29,1.00,-1.42%,1
"May 19, 2010","1,119.57","1,124.27","1,100.66","1,115.05","6,765.80",-0.51%,-14.67,-8.46,0.47,32.00,34.64,40.84,2.00,-1.93%,2
"May 20, 2010","1,107.34","1,107.34","1,071.58","1,071.59","8,328.57",-3.90%,-19.53,-10.68,0.41,29.31,4.16,25.71,3.00,-5.83%,1
"May 21, 2010","1,067.26","1,090.16","1,055.90","1,087.69","5,452.13",1.50%,-21.83,-12.91,0.42,29.45,22.45,20.42,1.00,1.50%,5
"May 24, 2010","1,084.78","1,089.95","1,072.70","1,073.65","5,224.04",-1.29%,-24.50,-15.23,0.45,31.08,14.79,13.80,1.00,-1.29%,1
"May 25, 2010","1,067.42","1,074.75","1,040.78","1,074.03","7,329.58",0.04%,-26.29,-17.44,0.47,32.12,25.04,20.76,1.00,0.04%,3
"May 26, 2010","1,075.51","1,090.75","1,065.59","1,067.95","4,521.05",-0.57%,-27.87,-19.53,0.58,36.63,20.46,20.10,1.00,-0.57%,2
"May 27, 2010","1,074.27","1,103.52","1,074.27","1,103.06","5,698.46",3.29%,-26.00,-20.82,0.94,48.39,46.90,30.80,1.00,3.29%,5
"May 28, 2010","1,102.59","1,102.59","1,084.78","1,089.41","4,871.21",-1.24%,-25.32,-21.72,0.49,33.08,36.62,34.66,1.00,-1.24%,1
"Jun 01, 2010","1,087.30","1,094.77","1,069.89","1,070.71","5,271.48",-1.72%,-25.99,-22.57,0.45,30.88,22.54,35.35,2.00,-2.95%,1
